Прізвище,Примітка
Бабій,
Банира,
Барабаш,
Безверхній,
Білоус,
Бондаренко,
Власов,
Войченко,
Волошин,
Волощук,
Герасименко,
Гнилозуб,
Гонтаренко,
Горбко,
Давидов,
Деревянка,
Дирібас,Горбово-Псяровська лісова дача
Діденко,
Дьяченко,
Єжаченко,
Зелінський,Горбово-Псяровська лісова дача
Їжаченко,
Кашка,
Коваленко,
Коваль,
Ковтун,
Кондрацький,
Король,
Кравець,
Кравець,Горбово-Псяровська лісова дача
Кравченко,
Кравчук,
Крачок,
Кукулюк,Горбово-Псяровська лісова дача
Кучерявий,
Лещименко,
Лищименко,
Марченко,
Махенюк,
Молчановський,
Надолинський,
Немировський,
Нестеренко,
Николенко,
Осиченко,
Остапчук,
Пелагин,
Петренко,
Петриченко,
Подгорній,
Подлеський,
Подрушняк,
Прудиус,
Роговий,
Самохін,
Сиротинський,
Скарженюк,
Слободяник,
Сорока,
Сосунюк,
Ткаченко,
Устенко,
Феодоров,
Харченко,
Хворостяний,
Хуторан,Горбово-Псяровська лісова дача
Чернієнко,
Черній,
Чорний,
Швець,
Ямковий,
Янковий,